Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,10a,34,1,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,1,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,1,4,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,2,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,2,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,2,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,2,4,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,2,5,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,3,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,3,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,3,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,3,4,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,4,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,4,2,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,4,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,4,4,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,4,5,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,5,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,5,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,5,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,5,4,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,6,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,6,2,8,1,6.000000,Castagno,False,0.010000,0.017982,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,6,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,6,4,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,6,5,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,7,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,7,2,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,7,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,8,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,8,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,8,3,11,2,8.000000,Castagno,False,0.010000,0.041546,28.000000,200.000000,10.180000,0.000000
Capistrano,10a,34,9,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,9,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,9,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,9,4,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,10,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,10,2,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,11,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,11,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,11,4,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,11,5,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,12,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,12,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,12,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,12,4,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,13,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,13,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,13,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,13,4,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,14,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,14,2,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,14,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,15,1,8,1,6.000000,Castagno,False,0.010000,0.017982,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,15,2,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,15,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,15,4,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,16,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,16,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,16,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,16,4,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,16,5,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,17,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,17,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,17,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,17,4,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,17,5,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,18,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,18,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,18,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,18,4,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,19,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,19,2,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,19,3,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,20,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,20,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,20,3,8,1,6.000000,Castagno,False,0.010000,0.017982,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,21,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,21,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,22,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,22,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,22,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,22,4,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,22,5,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
