Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,2,7,15,,38,7,24.030485,Pino Nero,True,0.110000,1.249701,25.000000,200.000000,2.630000,0.040000
Capistrano,2,7,16,,55,11,27.179657,Pino Nero,True,0.240000,2.888547,25.000000,200.000000,1.820000,0.060000
Capistrano,2,7,17,,52,10,31.486117,Douglas,True,0.210000,2.894144,27.000000,200.000000,2.080000,0.060000
Capistrano,2,7,18,,41,8,24.677665,Pino Nero,True,0.130000,1.485309,25.000000,200.000000,2.440000,0.040000
Capistrano,2,7,19,,35,7,23.330055,Pino Nero,True,0.100000,1.036249,25.000000,200.000000,2.860000,0.040000
Capistrano,2,7,20,,47,9,22.812548,Abete,True,0.170000,1.923597,27.000000,200.000000,2.300000,0.050000
Capistrano,2,7,21,,43,8,25.083318,Pino Nero,True,0.150000,1.654885,25.000000,200.000000,2.330000,0.050000
Capistrano,2,7,22,,50,10,26.367891,Pino Nero,True,0.200000,2.328843,25.000000,200.000000,2.000000,0.050000
Capistrano,2,7,23,,47,9,25.840892,Pino Nero,True,0.170000,2.024530,25.000000,200.000000,2.130000,0.050000
Capistrano,2,8,1,,55,11,27.179657,Pino Nero,True,0.240000,2.888547,20.000000,200.000000,1.450000,0.050000
Capistrano,2,8,2,,53,10,31.785568,Douglas,True,0.220000,3.033643,25.000000,200.000000,1.890000,0.060000
Capistrano,2,8,3,,46,9,22.661346,Abete,True,0.170000,1.830821,25.000000,200.000000,2.170000,0.050000
Capistrano,2,8,4,,38,7,24.030485,Pino Nero,True,0.110000,1.249701,25.000000,200.000000,2.630000,0.040000
Capistrano,2,8,5,,8,1,7.000000,Castagno,True,0.010000,0.020320,25.000000,200.000000,12.500000,0.000000
Capistrano,2,8,6,,59,12,27.777594,Pino Nero,True,0.270000,3.384354,20.000000,200.000000,1.360000,0.050000
Capistrano,2,8,7,,9,2,7.000000,Castagno,True,0.010000,0.025411,25.000000,200.000000,11.110000,0.000000
Capistrano,2,8,8,,47,9,25.840892,Pino Nero,True,0.170000,2.024530,20.000000,200.000000,1.700000,0.040000
Capistrano,2,8,9,,40,8,27.361567,Douglas,True,0.130000,1.500456,25.000000,200.000000,2.500000,0.040000
Capistrano,2,8,10,,37,7,23.803349,Pino Nero,True,0.110000,1.176108,20.000000,200.000000,2.160000,0.030000
Capistrano,2,8,11,,51,10,26.536552,Pino Nero,True,0.200000,2.435502,20.000000,200.000000,1.570000,0.040000
Capistrano,2,8,12,,58,11,27.631999,Pino Nero,True,0.260000,3.256357,20.000000,200.000000,1.380000,0.050000
Capistrano,2,8,13,,57,11,32.929396,Douglas,True,0.260000,3.628753,25.000000,200.000000,1.750000,0.060000
Capistrano,2,8,14,,52,10,26.701938,Pino Nero,True,0.210000,2.544791,20.000000,200.000000,1.540000,0.040000
Capistrano,2,8,15,,40,8,24.467355,Pino Nero,True,0.130000,1.404287,20.000000,200.000000,2.000000,0.030000
Capistrano,2,8,16,,12,2,8.000000,Castagno,True,0.010000,0.049012,25.000000,200.000000,8.330000,0.000000
Capistrano,2,8,17,,37,7,21.130619,Abete,True,0.110000,1.107450,25.000000,200.000000,2.700000,0.040000
Capistrano,2,8,18,,41,8,24.677665,Pino Nero,True,0.130000,1.485309,20.000000,200.000000,1.950000,0.030000
Capistrano,2,8,19,,45,9,25.470525,Pino Nero,True,0.160000,1.834591,20.000000,200.000000,1.780000,0.040000
Capistrano,2,8,20,,58,11,33.202806,Douglas,True,0.260000,3.786905,25.000000,200.000000,1.720000,0.060000
Capistrano,2,8,21,,31,6,23.354483,Douglas,True,0.080000,0.778121,25.000000,200.000000,3.230000,0.030000
Capistrano,2,8,22,,50,10,26.367891,Pino Nero,True,0.200000,2.328843,20.000000,200.000000,1.600000,0.040000
Capistrano,3,11,1,,45,9,25.470525,Pino Nero,True,0.160000,1.834591,25.000000,200.000000,2.220000,0.050000
Capistrano,3,11,2,,43,8,22.187194,Abete,True,0.150000,1.567522,25.000000,200.000000,2.330000,0.040000
Capistrano,3,11,3,,42,8,22.021760,Abete,True,0.140000,1.484726,25.000000,200.000000,2.380000,0.040000
Capistrano,3,11,4,,40,8,26.000000,Faggio,True,0.130000,1.621756,30.000000,200.000000,3.000000,0.050000
Capistrano,3,11,5,,5,1,7.059014,Abete,True,0.000000,0.006836,25.000000,200.000000,20.000000,0.010000
Capistrano,3,11,6,,32,6,26.000000,Faggio,True,0.080000,1.038216,30.000000,200.000000,3.750000,0.040000
Capistrano,3,11,7,,28,5,26.000000,Faggio,True,0.060000,0.795074,30.000000,200.000000,4.290000,0.030000
Capistrano,3,11,8,,40,8,26.000000,Faggio,True,0.130000,1.621756,30.000000,200.000000,3.000000,0.050000
Capistrano,3,11,9,,36,7,26.000000,Faggio,True,0.100000,1.313776,30.000000,200.000000,3.330000,0.040000
Capistrano,3,11,10,,21,4,26.000000,Faggio,True,0.030000,0.447584,30.000000,200.000000,5.710000,0.030000
Capistrano,3,11,11,,20,4,16.805495,Abete,True,0.030000,0.260490,25.000000,200.000000,5.000000,0.020000
Capistrano,3,11,12,,15,3,26.000000,Faggio,True,0.020000,0.228757,30.000000,200.000000,8.000000,0.020000
Capistrano,3,11,13,,42,8,26.000000,Faggio,True,0.140000,1.787902,30.000000,200.000000,2.860000,0.050000
Capistrano,3,11,14,,32,6,26.000000,Faggio,True,0.080000,1.038216,30.000000,200.000000,3.750000,0.040000
Capistrano,3,11,15,,41,8,21.852340,Abete,True,0.130000,1.404394,25.000000,200.000000,2.440000,0.040000
Capistrano,3,11,16,,38,7,26.000000,Faggio,True,0.110000,1.463713,30.000000,200.000000,3.160000,0.050000
Capistrano,3,11,17,,49,10,23.105532,Abete,True,0.190000,2.116734,25.000000,200.000000,2.040000,0.050000
Capistrano,3,11,18,,56,11,27.333123,Pino Nero,True,0.250000,3.008464,30.000000,200.000000,2.140000,0.070000
Capistrano,3,11,19,,58,11,24.291051,Abete,True,0.260000,3.113096,25.000000,200.000000,1.720000,0.060000
Capistrano,3,11,20,,47,9,25.840892,Pino Nero,True,0.170000,2.024530,25.000000,200.000000,2.130000,0.050000
Capistrano,3,11,21,,36,7,20.937988,Abete,True,0.100000,1.039242,25.000000,200.000000,2.780000,0.040000
Capistrano,3,11,22,,39,8,21.500737,Abete,True,0.120000,1.251072,25.000000,200.000000,2.560000,0.040000
Capistrano,3,11,23,,42,8,24.882906,Pino Nero,True,0.140000,1.568838,25.000000,200.000000,2.380000,0.040000
Capistrano,3,11,24,,41,8,26.000000,Faggio,True,0.130000,1.703816,30.000000,200.000000,2.930000,0.050000
Capistrano,3,11,25,,44,9,25.279122,Pino Nero,True,0.150000,1.743465,25.000000,200.000000,2.270000,0.040000
Capistrano,3,12,1,,10,2,6.000000,Faggio,True,0.010000,0.024191,27.000000,200.000000,10.800000,0.000000
Capistrano,3,12,2,,27,5,21.119772,Pino Nero,True,0.060000,0.572034,22.000000,200.000000,3.260000,0.030000
Capistrano,3,12,3,,29,6,21.728395,Pino Nero,True,0.070000,0.674090,22.000000,200.000000,3.030000,0.030000
Capistrano,3,12,4,,32,6,22.566819,Pino Nero,True,0.080000,0.844532,22.000000,200.000000,2.750000,0.030000
Capistrano,3,12,5,,34,7,23.083165,Pino Nero,True,0.090000,0.969950,22.000000,200.000000,2.590000,0.030000
Capistrano,3,12,6,,28,5,27.000000,Faggio,True,0.060000,0.825623,27.000000,200.000000,3.860000,0.030000
Capistrano,3,12,7,,28,5,27.000000,Faggio,True,0.060000,0.825623,25.000000,200.000000,3.570000,0.030000
Capistrano,3,12,8,,30,6,22.017138,Pino Nero,True,0.070000,0.728570,22.000000,200.000000,2.930000,0.030000
Capistrano,3,12,9,,28,5,27.000000,Faggio,True,0.060000,0.825623,27.000000,200.000000,3.860000,0.030000
Capistrano,3,12,10,,34,7,20.536130,Abete,True,0.090000,0.909957,25.000000,200.000000,2.940000,0.040000
