Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a),,
Capistrano,10a,34,2,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,2,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,2,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,2,4,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,2,5,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,3,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,3,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,3,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,3,4,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,4,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,4,2,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,4,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,4,4,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,4,5,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,5,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,5,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,5,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,5,4,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,6,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,6,2,8,1,6,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,6,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,6,4,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,6,5,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,7,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,7,2,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,7,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,8,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,8,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,8,3,11,2,8,Castagno,FALSE,0.01,0.04,28,200,10.18,0.00,,
Capistrano,10a,34,9,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,9,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,9,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,9,4,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
